Clicked At,Replied At,Data Entered At,Attachment Opened At,Macro Enabled At,QR Code Scanned At,Opened At,Reported,Scheduled,Delivered At,Job Title,Division,Browser,Browser Version,Operating System,Email Template,Current PPP,Risk Score,Department,
,,,,,,,,11/27/24 18:47,11/27/24 18:47,Administration,EMP COLLEGE OF SCIENCE & MATH ADMIN,,,,Your School Portraits are now available - Order#24532197 (Link),0.0526316,40.2902,COLLEGE OF SCIENCE & MATH ADMIN,
,,,,,,11/26/24 15:07,,11/26/24 14:33,11/26/24 14:33,Administration,EMP ART,,,,UPS: Service Temporarily Unavailable (QR Code),0.0340136,41.4476,ART,
,,,,,,,,11/26/24 18:39,11/26/24 18:39,Administration,EMP SCHOOL OF BUSINESS,,,,T-Mobile: Win the new Iphone Xs with T-Mobile (Link),0.00819672,44.9199,SCHOOL OF BUSINESS,
,,,,,,,,11/27/24 18:24,11/27/24 18:24,Administration,EMP FAC OPER PLANT ADMIN,,,,Ticketmaster: Basketball Season is Here! (QR Code),0,46.0773,FAC OPER PLANT ADMIN,
,,,,,,11/27/24 23:45,,11/27/24 21:11,11/27/24 21:11,Administration,EMP BIOLOGY,,,,Get Spotify Premium for Free! (QR Code),0.0227273,46.0773,BIOLOGY,
,,,,,,,,11/25/24 15:11,11/25/24 15:11,Administration,EMP CURRENT RESTRICTED - GRANTS,,,,Get Spotify Premium for Free! (QR Code),0.0526316,46.0773,CURRENT RESTRICTED - GRANTS,
,,,,,,11/29/24 14:11,,11/27/24 21:05,11/27/24 21:05,Administration,EMP MATHEMATICS,,,,Panera Bread: Free Sandwich! (Link),0.00787402,44.9199,MATHEMATICS,
,,,,,,11/27/24 19:48,,11/27/24 19:00,11/27/24 19:00,Administration,EMP BS IN CYBER SECURITY - BSCS,,,,Your School Portraits are now available - Order#24532197 (Link),0.00787402,46.0773,BS IN CYBER SECURITY - BSCS,
,,,,,,,,11/26/24 15:24,11/26/24 15:24,Administration,EMP MATHEMATICS,,,,Red Lobster reopening - Thank you for your support (Link),0.00793651,46.0773,MATHEMATICS,
,,,,,,,,11/25/24 15:02,11/25/24 15:02,Administration,,,,,jetBlue: Chance to win a FREE upgrade on your flight to New York! (Link),0.0125,46.0773,,
,,,,,,11/26/24 21:34,11/26/24 21:34,11/26/24 21:06,11/26/24 21:06,Administration,EMP ACCOUNTING,,,,Get Spotify Premium for Free! (QR Code),0.0185185,39.1328,,
,,,,,,11/26/24 16:55,,11/26/24 16:19,11/26/24 16:19,Administration,EMP CRIMINOLOGY AND CRIMINAL JUSTICE,,,,eFax: Urgent - Confirm account to receive important fax (Link),0.0454545,46.0773,CRIMINOLOGY AND CRIMINAL JUSTICE,
,,,,,,,,11/27/24 13:49,11/27/24 13:49,Administration,EMP PHYSICS,,,,LinkedIn: Verification Required! (Link) (Credentials Landing Page),0.0555556,46.0773,,
,,,,,,,,11/26/24 14:33,11/26/24 14:33,Administration,EMP BS IN STRATEGIC STUDIES (BSSSDA),,,,Dick's: Congratulations! (QR Code),0.015873,41.4476,BS IN STRATEGIC STUDIES (BSSSDA),
,,,,,,,,11/26/24 21:36,11/26/24 21:36,Administration,PHYSICS,,,,Instagram: Unidentified Device (Link) (Credentials Landing Page),0.0277778,46.0773,,
,,,,,,11/26/24 23:03,11/26/24 15:32,11/26/24 15:04,11/26/24 15:04,Administration,EMP ALUMNI RELATIONS,,,,Dick's: Congratulations! (QR Code),0.0909091,39.1328,ALUMNI RELATIONS,
,,,,,,,,11/25/24 17:53,11/25/24 17:53,Administration,EMP ATHLETIC ADMINISTRATION,,,,LinkedIn: Who's searching for you online? (Link),0,46.0773,MEN'S RUGBY TEAM,
,,,,,,11/27/24 13:32,,11/26/24 16:13,11/26/24 16:13,Administration,EMP ATHLETIC ADMINISTRATION,,,,UPS: Service Temporarily Unavailable (QR Code),0.015748,46.0773,EQUIP ROOM/LAUNDRY,
,,,,,,11/26/24 14:57,,11/25/24 21:34,11/25/24 21:34,Administration,EMP MATHEMATICS,,,,LinkedIn: Verification Required! (Link) (Credentials Landing Page),0.037594,46.0773,DEGREE COMPLETION - GAO,
,,,,,,11/26/24 21:17,,11/26/24 21:10,11/26/24 21:10,Administration,EMP POLITICAL SCIENCE,,,,Facebook: Your friend tagged you in photos on Facebook (Link) (SPT),0.0305344,46.0773,POLITICAL SCIENCE,
,,,,,,,,11/27/24 16:31,11/27/24 16:31,Administration,EMP PSYCHOLOGY,,,,Chase: You have a payment on hold (Link),0.016,46.0773,PSYCHOLOGY,
,,,,,,,,11/25/24 15:52,11/25/24 15:52,Administration,EMP ENGLISH,,,,Netflix: Your Netflix account is on hold! (Link) (Credentials Landing Page),0.0225564,41.4476,ENGLISH,
,,,,,,11/26/24 12:38,11/26/24 12:38,11/25/24 19:45,11/25/24 19:45,Administration,EMP REGISTRAR OFFICE,,,,Get Spotify Premium for Free! (QR Code),0.0225564,39.1328,REGISTRAR OFFICE,
,,,,,,11/26/24 15:08,,11/26/24 14:51,11/26/24 14:51,Administration,EMP HISTORY,,,,Ticketmaster: Basketball Season is Here! (QR Code),0.0300752,48.3921,HISTORY,
,,,,,,,,11/25/24 16:04,11/25/24 16:04,Administration,EMP NO CONTRACT,,,,jetBlue: Chance to win a FREE upgrade on your flight to New York! (Link),0.0190476,46.0773,MASTERS SCIENCE NURSING - MSN,
,,,,,,11/26/24 19:57,11/26/24 19:58,11/26/24 19:51,11/26/24 19:51,Administration,EMP NURSING,,,,ParkingEye: Parking Ticket Refund (Link),0.0597015,41.4476,NURSING,
,,,,,,11/27/24 2:00,11/26/24 21:50,11/26/24 20:45,11/26/24 20:45,Administration,EMP NURSING,,,,Starbucks: Forgot Password (Link),0.0223881,38.9476,NURSING,
,,,,,,,,11/25/24 17:05,11/25/24 17:05,Administration,EMP COLLEGE OF GRAD & CONT STUDIES-GAO,,,,It's Girl Scout Cookie Time! (QR Code) (Spoofs Domain),0.0227273,44.986,COLLEGE OF GRAD & CONT STUDIES-GAO,
,,,,,,,,11/27/24 19:48,11/27/24 19:48,Administration,EMP JUSTICE STUDIES,,,,Netflix: Your Netflix account is on hold! (Link) (Credentials Landing Page),0,45.1249,,
,,,,,,,,11/26/24 17:43,11/26/24 17:43,Administration,,,,,HelloFresh: Thanks for your purchase! (PDF Attachment),0,46.0773,,
,,,,,,11/25/24 19:57,11/25/24 19:57,11/25/24 19:44,11/25/24 19:44,Administration,EMP FAC OPER PLANT ADMIN,,,,Amazon: Your Amazon Order of AirPods Pro (2nd Generation) Wireless Earbuds (Link) (QR Code),0.0225564,39.1328,FAC OPER PLANT ADMIN,
,,,,,,11/26/24 20:22,,11/26/24 16:25,11/26/24 16:25,Administration,EMP MATHEMATICS,,,,UPS: Service Temporarily Unavailable (QR Code),0.0150376,48.3921,MATHEMATICS,
,,,,,,,,11/26/24 16:08,11/26/24 16:08,Administration,EMP CAREER DEVELOPMENT,,,,eFax: Urgent - Confirm account to receive important fax (Link),0.015748,48.4582,CAREER DEVELOPMENT,
,,,,,,,,11/25/24 17:53,11/25/24 17:53,Administration,EMP BIOLOGY,,,,Get Spotify Premium for Free! (QR Code),0,46.0773,,
,,,,,,,,11/26/24 20:22,11/26/24 20:22,Administration,EMP FAC OPER PLANT ADMIN,,,,Dick's: Congratulations! (QR Code),0.00970874,46.0773,FAC OPER PLANT ADMIN,
,,,,,,,,11/27/24 16:01,11/27/24 16:01,Administration,EMP NO CONTRACT,,,,EA Playstation Account Notification (Link) (QR Code),0.0366972,46.0773,POLITICAL SCIENCE,
,,,,,,11/26/24 16:51,11/26/24 16:51,11/26/24 14:39,11/26/24 14:39,Administration,EMP FAC OPER PLANT ADMIN,,,,jetBlue: Chance to win a FREE upgrade on your flight to New York! (Link),0.0526316,39.1328,FAC OPER PLANT ADMIN,
,,,,,,11/25/24 19:07,,11/25/24 15:04,11/25/24 15:04,Administration,EMP DEAN OF STUDENTS,,,,Ticketmaster: Are you ready for some football?! (Link) (QR Code),0.0280374,41.0773,DEAN OF STUDENTS,
,,,,,,,,11/27/24 13:16,11/27/24 13:16,Administration,EMP FAC OPER PLANT ADMIN,,,,EA Playstation Account Notification (Link) (QR Code),0,46.0773,FAC OPER PLANT ADMIN,
,,,,,,,,11/27/24 16:45,11/27/24 16:45,Administration,EMP FINANCIAL AFFAIRS,,,,LinkedIn: Who's searching for you online? (Link),0.0606061,39.1328,FINANCIAL AFFAIRS,
,,,,,,11/26/24 21:54,11/27/24 1:12,11/26/24 21:44,11/26/24 21:44,Administration,EMP FINANCIAL AFFAIRS,,,,EA Playstation Account Notification (Link) (QR Code),0.0225564,39.1328,FINANCIAL AFFAIRS,
,,,,,,,,11/27/24 18:34,11/27/24 18:34,Administration,EMP FAC OPER PLANT ADMIN,,,,Crypto University Giveaway (Link),0,46.0773,FAC OPER PLANT ADMIN,
,,,,,,,,11/27/24 13:13,11/27/24 13:13,Administration,EMP CURRENT RESTRICTED - GRANTS,,,,Get Spotify Premium for Free! (QR Code),0.0227273,46.0773,CURRENT RESTRICTED - GRANTS,
,,,,,,11/27/24 17:07,,11/27/24 13:26,11/27/24 13:26,Administration,EMP COLLEGE OF GRAD & CONT STUDIES-GAO,,,,Authorize Pending Transaction on your Wallet (Link),0.0227273,46.0773,COLLEGE OF GRAD & CONT STUDIES-GAO,
,,,,,,,,11/27/24 20:08,11/27/24 20:09,Administration,EMP CRIMINOLOGY AND CRIMINAL JUSTICE,,,,Disney: Your Disney account was updated (Link),0.0307692,41.4476,CRIMINOLOGY AND CRIMINAL JUSTICE,
,,,,,,,,11/26/24 21:15,11/26/24 21:15,Administration,EMP EARTH AND ENVIRONMENTAL SCIENCE,,,,LinkedIn: Install LinkedIn Secure app (Link),0.0595238,38.3882,EARTH AND ENVIRONMENTAL SCIENCE,
,,,,,,11/29/24 19:51,,11/26/24 15:18,11/26/24 15:18,Administration,EMP ART,,,,Get Spotify Premium for Free! (QR Code),0.0895522,46.0773,ART,
,,,,,,11/27/24 3:31,,11/26/24 15:24,11/26/24 15:24,Administration,EMP COMDNT CADETS,,,,Starbucks: Forgot Password (Link),0.015748,46.0773,COMDNT CADETS,
,,,,,,,,11/25/24 15:45,11/25/24 15:45,Administration,EMP ENGLISH,,,,Crypto University Giveaway (Link),0.0234375,48.3921,ENGLISH,
,,,,,,11/26/24 16:26,11/26/24 16:26,11/26/24 16:25,11/26/24 16:25,Administration,EMP SENIOR VP ACADEMIC AFFAIRS,,,,Someone sent you a Mother's Day ecard! (Link) (Credentials Landing Page),0.111111,44.9199,,
,,,,,,11/27/24 16:12,,11/26/24 14:04,11/26/24 14:04,Administration,EMP PRESIDENTS OFFICE,,,,jetBlue: Chance to win a FREE upgrade on your flight to New York! (Link),0.0451128,46.0773,PRESIDENTS OFFICE,
,,,,,,,,11/27/24 17:23,11/27/24 17:23,Administration,EMP HANDGUN INTENSIVE TACTICAL SOC HITS,,,,EA Playstation Account Notification (Link) (QR Code),0,46.0773,,
,,,,,,11/27/24 3:39,,11/26/24 20:29,11/26/24 20:29,Administration,EMP COMPUTER SCIENCE,,,,Facebook: Your friend tagged you in photos on Facebook (Link) (SPT),0.0227273,46.0773,COMPUTER SCIENCE,
,,,,,,,,11/27/24 18:09,11/27/24 18:09,Administration,EMP FINANCIAL AFFAIRS,,,,VIP Executive Reception Invitation (Link) (Spoofs Domain),0.0111111,46.0773,UNIFORM PROCUREMENT,
11/27/24 20:58,,,,,,11/27/24 20:58,,11/27/24 18:02,11/27/24 18:02,Administration,EMP EARTH AND ENVIRONMENTAL SCIENCE,Safari,17,ios,Marriott: We're sorry. Here is a free 2-night stay at any Marriott location. (Link) (Credentials Landing Page),0.0373134,47.5654,EARTH AND ENVIRONMENTAL SCIENCE,
,,,,,,,,11/26/24 18:33,11/26/24 18:33,Administration,EMP OFFICE OF ACADEMIC RESEARCH,,,,Instagram: Unidentified Device (Link) (Credentials Landing Page),0.0909091,46.0773,OFFICE OF ACADEMIC RESEARCH,
,,,,,,,,11/27/24 14:06,11/27/24 14:06,Administration,EMP BIOLOGY,,,,Netflix: Your Netflix account is on hold! (Link) (Credentials Landing Page),0.015748,44.9199,BIOLOGY,
,,,,,,11/25/24 18:12,11/25/24 18:12,11/25/24 18:05,11/25/24 18:05,Administration,EMP NURSING,,,,Get Spotify Premium for Free! (QR Code),0.04,39.1328,NURSING,
,,,,,,,,11/27/24 13:58,11/27/24 13:58,Administration,EMP HEALTH & HUMAN PERFORMANCE  (H&HP),,,,Starbucks: Ready for a Starbucks coffee break? (Link),0.0305344,39.1328,HEALTH & HUMAN PERFORMANCE,
,,,,,,,,11/25/24 16:45,11/25/24 16:45,Administration,EMP COMPUTER SECURITY & INFO ASSURANCE,,,,Disney: Your Disney account was updated (Link),0.0740741,46.0773,COMPUTER SECURITY & INFO ASSURANCE,
,,,,,,,,11/26/24 18:12,11/26/24 18:12,Administration,,,,,Crypto University Giveaway (Link),0,46.0773,,
,,,,,,11/26/24 20:03,11/26/24 20:03,11/26/24 19:51,11/26/24 19:51,Administration,EMP FINANCIAL AID OFFICE,,,,UPS: Service Temporarily Unavailable (QR Code),0.0225564,41.4476,FINANCIAL AID OFFICE,
,,,,,,,,11/25/24 15:04,11/25/24 15:04,Administration,EMP IT SYSTEMS AND ARCH,,,,Netflix: Your Netflix account is on hold! (Link) (Credentials Landing Page),0.015748,37.4662,IT SYSTEMS AND ARCH,
,,,,,,,,11/26/24 18:49,11/26/24 18:49,Administration,EMP ELECTRICAL AND COMPUTER ENGINEERING,,,,Chase: You have a payment on hold (Link),0,46.0773,ELECTRICAL AND COMPUTER ENGINEERING,
,,,,,,,,11/27/24 13:39,11/27/24 13:39,Administration,EMP DEGREE COMPLETION - GAO,,,,EA Playstation Account Notification (Link) (QR Code),0.00813008,46.0773,COLLEGE OF GRAD & CONT STUDIES-GAO,
,,,,,,,,11/27/24 15:50,11/27/24 15:50,Administration,EMP NO CONTRACT,,,,T-Mobile: Win the new Iphone Xs with T-Mobile (Link),0.0545455,43.7625,POLITICAL SCIENCE,
,,,,,,11/27/24 16:43,11/27/24 16:43,11/27/24 16:33,11/27/24 16:33,Administration,EMP NO CONTRACT,,,,Chase: You have a payment on hold (Link),0,34.916,MECHANICAL ENGINEERING,
,,,,,,,,11/27/24 21:41,11/27/24 21:41,Administration,EMP SOCIOLOGY,,,,"HelloFax: HelloFax, Someone Sent You a Fax (Link)",0.00787402,46.0773,SOCIOLOGY,
,,,,,,11/27/24 21:39,11/27/24 21:39,11/27/24 18:51,11/27/24 18:51,Administration,EMP MASTERS SCIENCE NURSING - MSN,,,,Disney: Your Disney account was updated (Link),0.0305344,39.1328,COLLEGE OF GRAD & CONT STUDIES-GAO,
,,,,,,,,11/25/24 17:43,11/25/24 17:44,Administration,EMP FINANCIAL AID OFFICE,,,,Instagram: Unidentified Device (Link) (Credentials Landing Page),0.0451128,46.0773,FINANCIAL AID OFFICE,
,,,,,,,,11/25/24 20:22,11/25/24 20:22,Administration,EMP ADMISSIONS,,,,Expedia: Pack your bags! Your trip is booked. (QR Code),0.037037,46.0773,ADMISSIONS,
,,,,,,11/27/24 0:35,,11/26/24 21:16,11/26/24 21:16,Administration,,,,,Your School Portraits are now available - Order#24532197 (Link),0.0555556,46.0773,,
,,,,,,,,11/27/24 20:41,11/27/24 20:41,Administration,EMP COLLEGE OF GRAD & CONT STUDIES-GAO,,,,Hello All Cat Lovers!!!!! (Link),0.00793651,46.0773,COLLEGE OF GRAD & CONT STUDIES-GAO,
,,,,,,,,11/27/24 15:27,11/27/24 15:27,Administration,EMP ARCHITECTURE,,,,LinkedIn: Verification Required! (Link) (Credentials Landing Page),0.0746269,47.2347,ARCHITECTURE,
,,,,,,11/27/24 19:42,,11/27/24 18:50,11/27/24 18:50,Administration,EMP SPANISH,,,,Parking Ticket Refund (Link),0.0814815,48.3921,SPANISH,
,,,,,,11/26/24 14:27,,11/25/24 21:02,11/25/24 21:02,Administration,EMP CRIMINOLOGY AND CRIMINAL JUSTICE,,,,Marriott: We're sorry. Here is a free 2-night stay at any Marriott location. (Link) (Credentials Landing Page),0.016,46.0773,CRIMINOLOGY AND CRIMINAL JUSTICE,
,,,,,,,,11/26/24 18:18,11/26/24 18:18,Administration,EMP CAREER DEVELOPMENT,,,,Red Lobster reopening - Thank you for your support (Link),0.0601504,50.7069,CAREER DEVELOPMENT,
,,,,,,11/26/24 21:38,,11/26/24 21:23,11/26/24 21:23,Administration,EMP HISTORY,,,,VIP Executive Reception Invitation (Link) (Spoofs Domain),0.0810811,46.0773,,
,,,,,,11/27/24 1:28,,11/25/24 21:00,11/25/24 21:00,Administration,EMP ADMISSIONS,,,,Dick's: Congratulations! (QR Code),0.0909091,42.605,INFORMATION TECHNOLOGY,
,,,,,,,,11/25/24 18:00,11/25/24 18:00,Administration,,,,,Starbucks: Ready for a Starbucks coffee break? (Link),0,41.7215,,
,,,,,,,,11/25/24 18:59,11/25/24 18:59,Administration,EMP CENTER FOR STUDENT SUCCESS,,,,Netflix: Your Netflix account is on hold! (Link) (Credentials Landing Page),0.0285714,48.3921,KREITZBERG LIBRARY,
,,,,,,,,11/26/24 19:25,11/26/24 19:25,Administration,EMP BS IN STRATEGIC STUDIES (BSSSDA),,,,eFax: Urgent - Confirm account to receive important fax (Link),0.015748,43.5773,BS IN STRATEGIC STUDIES (BSSSDA),
,,,,,,,,11/26/24 16:43,11/26/24 16:44,Administration,EMP RESEARCH AND ADVANCEMENT SERVICES,,,,Disney: Your Disney account was updated (Link),0.02,39.1328,RESEARCH AND ADVANCEMENT SERVICES,
,,,,,,,,11/26/24 17:50,11/26/24 17:50,Administration,,,,,Instagram: Unidentified Device (Link) (Credentials Landing Page),0.0277778,46.0773,,
,,,,,,,,11/26/24 20:25,11/26/24 20:25,Administration,EMP NO CONTRACT,,,,Chase: You have a payment on hold (Link),0,46.0773,NURSING,
,,,,,,11/25/24 19:34,,11/25/24 14:56,11/25/24 14:56,Administration,EMP FRENCH,,,,Get Spotify Premium for Free! (QR Code),0.0106383,46.0773,,
,,,,,,11/27/24 16:55,,11/27/24 15:25,11/27/24 15:25,Administration,EMP BIOLOGY,,,,Someone sent you a Mother's Day ecard! (Link) (Credentials Landing Page),0.0970149,43.7625,BIOLOGY,
,,,,,,,,11/25/24 17:27,11/25/24 17:27,Administration,EMP COMDNT CADETS,,,,Starbucks: Ready for a Starbucks coffee break? (Link),0.00787402,44.9199,COMDNT CADETS,
,,,,,,,,11/27/24 14:53,11/27/24 14:53,Administration,EMP COMPUTER SECURITY & INFO ASSURANCE,,,,Crypto University Giveaway (Link),0,39.1328,CURRENT RESTRICTED - GRANTS,
,,,,,,,,11/25/24 15:33,11/25/24 15:33,Administration,,,,,Instagram: Unidentified Device (Link) (Credentials Landing Page),0.0481928,43.7625,,
,,,,,,,,11/27/24 15:51,11/27/24 15:51,Administration,EMP CHEMISTRY AND BIOCHEMISTRY,,,,Netflix: Your Netflix account is on hold! (Link) (Credentials Landing Page),0.030303,39.1328,CHEMISTRY AND BIOCHEMISTRY,
,,,,,,,,11/26/24 18:46,11/26/24 18:46,Administration,MECHANICAL ENGINEERING,,,,Get Spotify Premium for Free! (QR Code),0,46.0773,,
