Clicked At,Replied At,Data Entered At,Attachment Opened At,Macro Enabled At,QR Code Scanned At,Opened At,Reported,Scheduled,Delivered At,Job Title,Division,Browser,Browser Version,Operating System,Email Template,Current PPP,Risk Score,Locale,Department
,,,,,,2/14/24 20:40,,2/14/24 20:01,2/14/24 20:06,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,"Subway: It's lunch time, are you getting hungry? (Link)",0,46.0773,en,Accounting
,,,,,,2/13/24 19:33,,2/13/24 19:30,2/13/24 19:30,Student,,,,,Steam: Malware Alert (Link),0.125,40.9279,en,Accounting
,,,,,,2/19/24 14:04,,2/15/24 14:32,2/15/24 14:32,Student,,,,,Gooogle: Resolve 2 security issues found on your Gooogle account (Link),0,46.0773,en,Accounting
,,,,,,,,2/14/24 14:00,2/14/24 14:00,Student,,,,,Amazon Prime: Protect yourself from scammers (Link),0,46.0773,en,Accounting
,,,,,,2/13/24 23:42,,2/13/24 20:39,2/13/24 20:39,Student,,,,,X: You got paid! (PDF Attachment),0.125,46.0773,en,Accounting
,,,,,,,,2/14/24 14:48,2/14/24 14:49,Student,,,,,Amazon Prime: Protect yourself from scammers (Link),0,46.0773,en,Accounting
,,,,,,2/14/24 16:03,,2/14/24 14:33,2/14/24 14:33,Student,,,,,Withdrawal is available (Link),0.125,46.0773,en,Accounting
,,,,,,2/14/24 19:53,,2/14/24 19:52,2/14/24 19:52,Student,,,,,Countdown Timer: You've only got three minutes (Link),0,46.0773,en,Accounting
,,,,,,,,2/14/24 15:32,2/14/24 15:32,Student,,,,,"Subway: It's lunch time, are you getting hungry? (Link)",0,46.0773,en,Accounting
,,,,,,,,3/14/24 12:42,3/14/24 12:42,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,X: You got paid! (PDF Attachment),0,46.0773,en,Accounting
,,,,,,,,3/15/24 16:03,3/15/24 16:03,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Countdown Timer: You've only got three minutes (Link),0,46.0773,en,Accounting
,,,,,,3/18/24 6:15,,3/15/24 20:01,3/15/24 20:01,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Hello All Cat Lovers!!!!! (Link),0.173913,46.0773,en,Accounting
,,,,,,,,3/15/24 15:02,3/15/24 15:02,Student,Undergraduate-Continuing-Northfield Campus-College Science - Mathematics,,,,Withdrawal is available (Link),0.130435,46.0773,en,Accounting
,,,,,,3/15/24 16:52,,3/15/24 16:51,3/15/24 16:51,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Countdown Timer: You've only got three minutes (Link),0.0869565,46.0773,en,Accounting
,,,,,,3/14/24 13:49,,3/14/24 13:07,3/14/24 13:07,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Amazon: Work for Amazon Remotely (Link),0.0869565,46.0773,en,Accounting
,,,,,,,,3/15/24 16:59,3/15/24 17:00,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Amazon Prime Day: Special deals and offers for Amazon Prime Day! (Link),0.130435,46.0773,en,Accounting
,,,,,,,,3/15/24 15:10,3/15/24 15:12,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Amazon Prime: Protect yourself from scammers (Link),0.0869565,46.0773,en,Accounting
,,,,,,,,3/14/24 14:30,3/14/24 14:30,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,CCleaner: Download the new CCleaner Mobile app! (QR Code),0.0434783,46.0773,en,Accounting
,,,,,,,,3/14/24 15:50,3/14/24 15:50,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,"Subway: It's lunch time, are you getting hungry? (Link)",0,46.0773,en,Accounting
,,,,,,3/14/24 20:30,,3/14/24 20:30,3/14/24 20:30,Student,Undergraduate-New Freshman-Northfield Campus-College of Liberal Arts,,,,Amazon: A thank you gift from Jeff Bezos (Link),0.0869565,46.0773,en,Accounting
,,,,,,3/15/24 16:34,,3/15/24 16:34,3/15/24 16:34,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Countdown Timer: You've only got three minutes (Link),0,46.0773,en,Accounting
,,,,,,3/14/24 18:09,,3/13/24 20:18,3/13/24 20:18,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Amazon: A thank you gift from Jeff Bezos (Link),0,46.0773,en,Accounting
,,,,,,,,3/13/24 17:32,3/13/24 17:32,Student,,,,,Spirit: 50 Off Halloween Purchase Deal (Link),0.125,40.9279,en,Accounting
,,,,,,3/14/24 15:04,,3/14/24 14:50,3/14/24 14:50,Student,,,,,Amazon Prime: Protect yourself from scammers (Link),0,46.0773,en,Accounting
,,,,,,,,3/13/24 17:58,3/13/24 17:58,Student,,,,,Spirit: 50 Off Halloween Purchase Deal (Link),0,46.0773,en,Accounting
,,,,,,3/17/24 5:23,,3/13/24 20:57,3/13/24 20:57,Student,,,,,Zelle: We declined your last transaction (Link),0.125,46.0773,en,Accounting
,,,,,,,,3/14/24 15:03,3/14/24 15:03,Student,,,,,AT&T: Exciting News: Your Wireless Bill Has Been Revised! (Link),0,46.0773,en,Accounting
3/15/24 3:38,,,,,,3/15/24 3:39,,3/14/24 20:29,3/14/24 20:29,Student,,Safari,17,mac,Amazon: A thank you gift from Jeff Bezos (Link),0.125,46.0773,en,Accounting
,,,,,,3/14/24 18:45,,3/14/24 17:30,3/14/24 17:30,Student,,,,,Amazon: A thank you gift from Jeff Bezos (Link),0,46.0773,en,Accounting
,,,,,,,,3/15/24 18:24,3/15/24 18:24,Student,,,,,Chipotle: Go BOGO with our mobile app! (QR Code),0,46.0773,en,Accounting
,,,,,,,,4/17/24 12:14,4/17/24 12:14,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Instagram: Your video has been removed (Link),0,46.0773,en,Accounting
,,,,,,,,4/16/24 13:04,4/16/24 13:04,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Facebook: Password Change (Link),0,46.0773,en,Accounting
,,,,,,4/16/24 18:05,,4/16/24 18:04,4/16/24 18:04,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Zelle: We declined your last transaction (Link),0.173913,46.0773,en,Accounting
,,,,,,,,4/17/24 18:18,4/17/24 18:18,Student,Undergraduate-Continuing-Northfield Campus-College Science - Mathematics,,,,Hello All Cat Lovers!!!!! (Link),0.130435,46.0773,en,Accounting
,,,,,,,,4/17/24 17:34,4/17/24 17:34,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Twitter: Confirm your email address (Link),0.0869565,46.0773,en,Accounting
,,,,,,4/17/24 17:49,,4/17/24 17:24,4/17/24 17:24,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Terra: Let's go to the moon! (QR Code),0.0869565,46.0773,en,Accounting
4/17/24 18:58,,,,,,4/17/24 18:57,,4/17/24 15:49,4/17/24 15:49,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,Opera,107,windows,Hello All Cat Lovers!!!!! (Link),0.130435,46.0773,en,Accounting
,,,,,,,,4/15/24 19:40,4/15/24 19:40,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Amazon Prime Day: Special deals and offers for Amazon Prime Day! (Link),0.0869565,46.0773,en,Accounting
,,,,,,,,4/15/24 18:33,4/15/24 18:33,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Withdrawal is available (Link),0.0434783,46.0773,en,Accounting
,,,,,,,,4/17/24 18:57,4/17/24 18:57,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Spirit: 50 Off Halloween Purchase Deal (Link),0,46.0773,en,Accounting
,,,,,,4/16/24 20:39,,4/16/24 20:08,4/16/24 20:08,Student,Undergraduate-New Freshman-Northfield Campus-College of Liberal Arts,,,,Hello All Cat Lovers!!!!! (Link),0.0869565,46.0773,en,Accounting
,,,,,,4/16/24 17:37,,4/16/24 17:30,4/16/24 17:30,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Thank you for your purchase! (Link),0,46.0773,en,Accounting
,,,,,,4/16/24 16:36,,4/16/24 12:05,4/16/24 12:05,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Terra: Let's go to the moon! (QR Code),0,46.0773,en,Accounting
,,,,,,4/18/24 18:05,,4/17/24 19:11,4/17/24 19:11,Student,,,,,Amazon: Cyber Monday $50 Credit Offer! (Link),0,46.0773,en,Accounting
,,,,,,4/16/24 16:48,,4/16/24 16:19,4/16/24 16:19,Student,,,,,CCleaner: Download the new CCleaner Mobile app! (QR Code),0.125,40.9279,en,Accounting
,,,,,,,,4/17/24 16:47,4/17/24 16:47,Student,,,,,Zelle: We declined your last transaction (Link),0,46.0773,en,Accounting
,,,,,,4/15/24 12:06,,4/15/24 12:05,4/15/24 12:05,Student,,,,,Amazon: Cyber Monday $50 Credit Offer! (Link),0.125,46.0773,en,Accounting
,,,,,,,,4/15/24 16:43,4/15/24 16:43,Student,,,,,Amazon: A thank you gift from Jeff Bezos (Link),0,46.0773,en,Accounting
,,,,,,4/17/24 14:00,,4/17/24 13:51,4/17/24 13:51,Student,,,,,My Retirement Investments Statement (Link),0.125,46.0773,en,Accounting
,,,,,,,,4/16/24 19:26,4/16/24 19:26,Student,,,,,X: You got paid! (PDF Attachment),0,46.0773,en,Accounting
,,,,,,,,4/15/24 15:07,4/15/24 15:07,Student,,,,,AT&T: Exciting News: Your Wireless Bill Has Been Revised! (Link),0,46.0773,en,Accounting
,,,,,,,,5/15/24 17:12,5/15/24 17:12,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,"Subway: It's lunch time, are you getting hungry? (Link)",0,46.0773,en,Accounting
,,,,,,,,5/14/24 18:42,5/14/24 18:42,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Amazon Prime Day: Special deals and offers for Amazon Prime Day! (Link),0,46.0773,en,Accounting
,,,,,,,,5/15/24 15:09,5/15/24 15:09,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Chipotle: Go BOGO with our mobile app! (QR Code),0.173913,46.0773,en,Accounting
,,,,,,,,5/14/24 12:35,5/14/24 12:35,Student,Undergraduate-Continuing-Northfield Campus-College Science - Mathematics,,,,Spirit: 50 Off Halloween Purchase Deal (Link),0.130435,46.0773,en,Accounting
,,,,,,,,5/14/24 16:14,5/14/24 16:14,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Instagram: Your video has been removed (Link),0.0869565,46.0773,en,Accounting
,,,,,,5/16/24 23:58,,5/15/24 14:25,5/15/24 14:25,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Thank you for your purchase! (Link),0.0869565,46.0773,en,Accounting
,,,,,,,,5/15/24 17:11,5/15/24 17:11,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Spirit: 50 Off Halloween Purchase Deal (Link),0.130435,46.0773,en,Accounting
,,,,,,,,5/14/24 20:52,5/14/24 20:52,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Thank you for your purchase! (Link),0.0869565,46.0773,en,Accounting
,,,,,,,,5/14/24 13:07,5/14/24 13:07,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,X: You got paid! (PDF Attachment),0.0434783,46.0773,en,Accounting
,,,,,,,,5/15/24 14:56,5/15/24 14:56,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,X: You got paid! (PDF Attachment),0,46.0773,en,Accounting
,,,,,,5/15/24 19:57,,5/15/24 19:57,5/15/24 19:57,Student,Undergraduate-New Freshman-Northfield Campus-College of Liberal Arts,,,,X: You got paid! (PDF Attachment),0.0869565,46.0773,en,Accounting
,,,,,,5/13/24 18:50,,5/13/24 18:44,5/13/24 18:45,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Zelle: We declined your last transaction (Link),0,46.0773,en,Accounting
,,,,,,,,5/15/24 15:32,5/15/24 15:32,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Amazon Prime: Protect yourself from scammers (Link),0,46.0773,en,Accounting
,,,,,,,,5/14/24 18:47,5/14/24 18:47,Student,,,,,Spirit: 50 Off Halloween Purchase Deal (Link),0.125,40.9279,en,Accounting
,,,,,,5/16/24 2:23,,5/15/24 16:55,5/15/24 16:55,Student,,,,,My Retirement Investments Statement (Link),0,46.0773,en,Accounting
,,,,,,,,5/15/24 12:30,5/15/24 12:30,Student,,,,,CCleaner: Download the new CCleaner Mobile app! (QR Code),0,46.0773,en,Accounting
,,,,,,5/15/24 19:11,,5/15/24 19:02,5/15/24 19:02,Student,,,,,Terra: Let's go to the moon! (QR Code),0.125,46.0773,en,Accounting
,,,,,,5/13/24 22:00,,5/13/24 18:53,5/13/24 18:53,Student,,,,,AT&T: Exciting News: Your Wireless Bill Has Been Revised! (Link),0.125,46.0773,en,Accounting
,,,,,,,,5/13/24 20:01,5/13/24 20:01,Student,,,,,Spirit: 50 Off Halloween Purchase Deal (Link),0,46.0773,en,Accounting
,,,,,,,,5/14/24 14:29,5/14/24 14:29,Student,,,,,Apples: You recently requested a password reset for your Apples ID (Link),0,46.0773,en,Accounting
,,,,,,,,5/15/24 19:10,5/15/24 19:10,Student,,,,,Amazon: Recent Amazon AWS Outage (Link),0,46.0773,en,Accounting
,,,,,,,,2/14/24 15:35,2/14/24 15:35,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Zelle: We declined your last transaction (Link),0.0434783,46.0773,en,Architectural Studies
,,,,,,2/15/24 21:53,,2/15/24 21:02,2/15/24 21:02,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,AT&T: Exciting News: Your Wireless Bill Has Been Revised! (Link),0.0869565,46.0773,en,Architectural Studies
,,,,,,2/15/24 21:37,,2/15/24 20:33,2/15/24 20:33,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,My Retirement Investments Statement (Link),0.0869565,46.0773,en,Architectural Studies
,,,,,,,,2/13/24 20:33,2/13/24 20:33,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Amazon: Work for Amazon Remotely (Link),0,46.0773,en,Architectural Studies
,,,,,,,,2/14/24 13:42,2/14/24 13:42,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Steam: Malware Alert (Link),0.0434783,46.0773,en,Architectural Studies
,,,,,,,,2/13/24 19:55,2/13/24 19:55,Student,Undergraduate-Readmitted Student-Northfield Campus-College Professional Schools,,,,Chipotle: Go BOGO with our mobile app! (QR Code),0.0434783,46.0773,en,Architectural Studies
,,,,,,,,2/15/24 18:16,2/15/24 18:16,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Hello All Cat Lovers!!!!! (Link),0.0434783,46.0773,en,Architectural Studies
,,,,,,2/15/24 14:31,,2/15/24 13:15,2/15/24 13:15,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Amazon: Cyber Monday $50 Credit Offer! (Link),0.173913,46.0773,en,Architectural Studies
,,,,,,2/15/24 20:26,,2/15/24 20:25,2/15/24 20:25,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Spirit: 50 Off Halloween Purchase Deal (Link),0.304348,46.0773,en,Architectural Studies
,,,,,,2/14/24 19:45,,2/14/24 18:54,2/14/24 18:54,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Countdown Timer: You've only got three minutes (Link),0,46.0773,en,Architectural Studies
,,,,,,2/14/24 19:59,,2/14/24 18:00,2/14/24 18:18,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,AT&T: Exciting News: Your Wireless Bill Has Been Revised! (Link),0.130435,46.0773,en,Architectural Studies
,,,,,,,,2/13/24 19:03,2/13/24 19:03,Student,Undergraduate-Early College Flexible Pathway-Northfield Campus-Undesignated/Undeclared,,,,Amazon Prime: Protect yourself from scammers (Link),0,46.0773,en,Architectural Studies
,,,,,,2/14/24 19:23,,2/14/24 18:53,2/14/24 18:53,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Steam: Malware Alert (Link),0.0434783,46.0773,en,Architectural Studies
,,,,,,,,2/15/24 21:11,2/15/24 21:12,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,"Subway: It's lunch time, are you getting hungry? (Link)",0,46.0773,en,Architectural Studies
,,,,,,,,2/15/24 15:30,2/15/24 15:30,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Amazon: Work for Amazon Remotely (Link),0.0869565,46.0773,en,Architectural Studies
,,,,,,2/15/24 2:31,,2/14/24 19:41,2/14/24 19:41,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Thank you for your purchase! (Link),0.0869565,46.0773,en,Architectural Studies
,,,,,,,,2/14/24 20:19,2/14/24 20:19,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Gooogle: Resolve 2 security issues found on your Gooogle account (Link),0.0434783,46.0773,en,Architectural Studies
,,,,,,2/13/24 19:57,,2/13/24 17:43,2/13/24 17:43,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Amazon: A thank you gift from Jeff Bezos (Link),0.217391,46.0773,en,Architectural Studies
,,,,,,2/15/24 17:52,,2/15/24 17:51,2/15/24 17:51,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Hello All Cat Lovers!!!!! (Link),0.130435,46.0773,en,Architectural Studies
,,,,,,,,2/14/24 17:25,2/14/24 17:28,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Amazon Prime: Protect yourself from scammers (Link),0.0869565,46.0773,en,Architectural Studies
,,,,,,,,2/13/24 20:43,2/13/24 20:43,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Facebook: Your Horoscope is ready (Link),0.0909091,46.0773,en,Architectural Studies
,,,,,,,,2/13/24 20:40,2/13/24 20:40,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,X: You got paid! (PDF Attachment),0,46.0773,en,Architectural Studies
,,,,,,,,2/15/24 13:58,2/15/24 13:58,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Withdrawal is available (Link),0.0434783,46.0773,en,Architectural Studies
2/15/24 16:21,,,,,,2/16/24 17:04,,2/15/24 16:13,2/15/24 16:13,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,Chrome,121,ios,Instagram: Your video has been removed (Link),0.0434783,46.0773,en,Architectural Studies
,,,,,,,,2/15/24 19:00,2/15/24 19:01,Student,Undergraduate-Transfer-Northfield Campus-College Professional Schools,,,,Amazon: A thank you gift from Jeff Bezos (Link),0,46.0773,en,Architectural Studies
,,,,,,2/15/24 19:57,,2/14/24 16:06,2/14/24 16:16,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Apples: You recently requested a password reset for your Apples ID (Link),0,46.0773,en,Architectural Studies
,,,,,,,,2/14/24 18:50,2/14/24 18:50,Student,Undergraduate-Transfer-Northfield Campus-College Professional Schools,,,,Amazon: Recent Amazon AWS Outage (Link),0.0434783,46.0773,en,Architectural Studies
,,,,,,2/14/24 16:46,2/14/24 16:46,2/14/24 15:44,2/14/24 15:44,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Spirit: 50 Off Halloween Purchase Deal (Link),0.173913,46.0773,en,Architectural Studies
,,,,,,2/16/24 16:35,2/16/24 16:35,2/15/24 21:38,2/15/24 21:42,Student,Undergraduate-Transfer-Northfield Campus-College Professional Schools,,,,Hello All Cat Lovers!!!!! (Link),0,46.0773,en,Architectural Studies
,,,,,,,,2/14/24 14:52,2/14/24 14:53,Student,Undergraduate-Transfer-Northfield Campus-College Professional Schools,,,,Amazon: Cyber Monday $50 Credit Offer! (Link),0.0869565,46.0773,en,Architectural Studies
,,,,,,,,2/15/24 15:38,2/15/24 15:38,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Gooogle: Resolve 2 security issues found on your Gooogle account (Link),0.0434783,46.0773,en,Architectural Studies
,,,,,,,,2/14/24 16:33,2/14/24 16:51,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Amazon Prime Day: Special deals and offers for Amazon Prime Day! (Link),0.0434783,46.0773,en,Architectural Studies
,,,,,,,,2/14/24 21:03,2/14/24 21:03,Student,Undergraduate-Transfer-Northfield Campus-College Professional Schools,,,,Twitter: Confirm your email address (Link),0.0434783,46.0773,en,Architectural Studies
,,,,,,,,2/15/24 19:45,2/15/24 19:45,Student,Undergraduate-Transfer-Northfield Campus-College Professional Schools,,,,My Retirement Investments Statement (Link),0.0434783,46.0773,en,Architectural Studies
,,,,,,,,2/13/24 20:00,2/13/24 20:00,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Hello All Cat Lovers!!!!! (Link),0.0434783,46.0773,en,Architectural Studies
,,,,,,2/15/24 15:59,,2/15/24 15:58,2/15/24 15:58,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Terra: Let's go to the moon! (QR Code),0.0869565,46.0773,en,Architectural Studies
,,,,,,,,2/14/24 14:04,2/14/24 14:04,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Amazon: Cyber Monday $50 Credit Offer! (Link),0.130435,46.0773,en,Architectural Studies
,,,,,,,,2/13/24 18:16,2/13/24 18:16,Student,Undergraduate-Early College Flexible Pathway-Northfield Campus-Undesignated/Undeclared,,,,Amazon Prime: Protect yourself from scammers (Link),0.0909091,46.0773,en,Architectural Studies
,,,,,,2/16/24 14:00,,2/14/24 21:17,2/14/24 21:17,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Terra: Let's go to the moon! (QR Code),0.0434783,46.0773,en,Architectural Studies
,,,,,,,,2/14/24 19:30,2/14/24 19:30,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,"Subway: It's lunch time, are you getting hungry? (Link)",0.0434783,46.0773,en,Architectural Studies
,,,,,,,,2/15/24 17:05,2/15/24 17:05,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Amazon Prime Day: Special deals and offers for Amazon Prime Day! (Link),0.130435,46.0773,en,Architectural Studies
,,,,,,,,2/13/24 20:20,2/13/24 20:20,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Amazon: Work for Amazon Remotely (Link),0,46.0773,en,Architectural Studies
,,,,,,2/15/24 18:36,,2/15/24 18:35,2/15/24 18:35,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Amazon: Work for Amazon Remotely (Link),0,46.0773,en,Architectural Studies
,,,,,,,,2/14/24 20:03,2/14/24 20:11,Student,,,,,Instagram: Your video has been removed (Link),0,46.0773,en,Architectural Studies
,,,,,,2/14/24 21:26,,2/14/24 14:16,2/14/24 14:16,Student,,,,,Gooogle: Resolve 2 security issues found on your Gooogle account (Link),0,46.0773,en,Architectural Studies
2/16/24 15:43,,,,,,2/16/24 15:59,,2/15/24 21:43,2/15/24 21:43,Student,,Microsoft Edge,121,ios,Amazon: Work for Amazon Remotely (Link),0.25,46.0773,en,Architectural Studies
,,,,,,,,2/14/24 21:02,2/14/24 21:02,Student,,,,,Countdown Timer: You've only got three minutes (Link),0.25,46.0773,en,Architectural Studies
,,,,,,,,2/15/24 21:35,2/15/24 21:35,Student,,,,,Gooogle: Resolve 2 security issues found on your Gooogle account (Link),0,46.0773,en,Architectural Studies
2/14/24 19:56,,,,,,2/15/24 5:00,,2/14/24 18:24,2/14/24 18:24,Student,,Safari,17,ios,X: You got paid! (PDF Attachment),0.125,46.0773,en,Architectural Studies
,,,,,,,,2/14/24 15:11,2/14/24 15:12,Student,,,,,Amazon Prime Day: Special deals and offers for Amazon Prime Day! (Link),0.25,40.5217,en,Architectural Studies
,,,,,,2/14/24 19:36,,2/14/24 19:14,2/14/24 19:14,Student,,,,,Spirit: 50 Off Halloween Purchase Deal (Link),0,46.0773,en,Architectural Studies
,,,,,,,,2/15/24 21:24,2/15/24 21:24,Student,,,,,Amazon: Work for Amazon Remotely (Link),0,46.0773,en,Architectural Studies
,,,,,,,,2/14/24 20:29,2/14/24 20:29,Student,,,,,Amazon Prime Day: Special deals and offers for Amazon Prime Day! (Link),0.125,46.0773,en,Architectural Studies
,,,,,,,,2/15/24 15:47,2/15/24 15:47,Student,,,,,Zelle: We declined your last transaction (Link),0,46.0773,en,Architectural Studies
,,,,,,2/14/24 14:00,,2/13/24 21:46,2/13/24 21:46,Student,,,,,Withdrawal is available (Link),0.25,46.0773,en,Architectural Studies
,,,,,,2/13/24 20:22,,2/13/24 20:22,2/13/24 20:22,Student,,,,,X: You got paid! (PDF Attachment),0,46.0773,en,Architectural Studies
,,,,,,,,2/14/24 19:02,2/14/24 19:02,Student,,,,,Amazon Prime: Protect yourself from scammers (Link),0,46.0773,en,Architectural Studies
